    ,used_algorithm                                   ,name_of_src_file           ,full_cost         ,hamiltonian_cycle_cost,best_way
4544,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_14_N_5.json ,4446.175643836377 ,4446.175643836377     ,"[0, 1, 2, 4, 3, 0]"
4545,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_15_N_5.json ,3834.014810886392 ,3834.014810886392     ,"[0, 4, 3, 2, 1, 0]"
4546,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_16_N_5.json ,4289.449843726474 ,4289.449843726474     ,"[0, 1, 4, 2, 3, 0]"
4547,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_17_N_5.json ,5795.217322051357 ,5795.217322051357     ,"[0, 1, 3, 2, 4, 0]"
4548,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_18_N_5.json ,3907.598973627688 ,3907.598973627688     ,"[0, 1, 4, 2, 3, 0]"
4549,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_19_N_5.json ,4416.171616058915 ,4416.171616058915     ,"[0, 2, 1, 4, 3, 0]"
4550,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_20_N_5.json ,2491.636565534493 ,2491.636565534493     ,"[0, 3, 2, 1, 4, 0]"
4551,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_21_N_5.json ,4083.7677346223736,4083.7677346223736    ,"[0, 1, 4, 3, 2, 0]"
4552,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_22_N_5.json ,2855.8264240916   ,2855.8264240916005    ,"[0, 1, 4, 2, 3, 0]"
4553,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_23_N_5.json ,4429.550098589932 ,4429.550098589932     ,"[0, 3, 2, 1, 4, 0]"
4554,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_24_N_5.json ,4415.993285874058 ,4415.993285874058     ,"[0, 1, 4, 3, 2, 0]"
4555,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_25_N_5.json ,4464.339766156485 ,4464.339766156485     ,"[0, 2, 3, 1, 4, 0]"
4556,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_26_N_5.json ,3601.0651520029323,3601.065152002933     ,"[0, 2, 1, 4, 3, 0]"
4557,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_27_N_5.json ,4570.058108477386 ,4570.058108477386     ,"[0, 3, 1, 2, 4, 0]"
4558,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_28_N_5.json ,2611.529519738885 ,2611.529519738885     ,"[0, 1, 2, 3, 4, 0]"
4559,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_29_N_5.json ,4622.919734498813 ,4622.919734498813     ,"[0, 2, 3, 1, 4, 0]"
4560,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_30_N_5.json ,3512.4862871999053,3512.4862871999053    ,"[0, 3, 2, 1, 4, 0]"
4561,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_31_N_5.json ,5070.636086622927 ,5070.636086622927     ,"[0, 3, 1, 2, 4, 0]"
4562,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_32_N_5.json ,3667.7036924908234,3667.703692490824     ,"[0, 3, 1, 2, 4, 0]"
4563,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_33_N_5.json ,4331.638280718221 ,4331.638280718221     ,"[0, 2, 1, 4, 3, 0]"
4564,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_34_N_5.json ,3134.656543184866 ,3134.656543184866     ,"[0, 2, 3, 1, 4, 0]"
4565,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_35_N_5.json ,3925.1993649581855,3925.1993649581855    ,"[0, 1, 3, 2, 4, 0]"
4566,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_36_N_5.json ,2677.7455067555197,2677.74550675552      ,"[0, 2, 1, 3, 4, 0]"
4567,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_37_N_5.json ,3536.132576354603 ,3536.1325763546038    ,"[0, 2, 4, 3, 1, 0]"
4568,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_38_N_5.json ,3210.339349390006 ,3210.339349390006     ,"[0, 2, 3, 1, 4, 0]"
4569,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_39_N_5.json ,4603.544937302348 ,4603.544937302348     ,"[0, 3, 2, 1, 4, 0]"
